"","neurotransmitter","uniqueID","Author","Year","doi","Include_final","design_true","N_drug","N_placebo","female_pct_drug","female_pct_pla","age_drug_m","age_drug_sd","age_pla_m","age_pla_sd","age_total","female_total","Drug","Dose","drug_interpretation","single_or_multiple_drugAdministrations","acute","taskAdministrationTime_postIntervention","repeatedMean_sessionTimewindow","task","task_name","task_name2","measure","outcome_name","t","F","exact_p","drug_m","drug_sd","drug_sem","placebo_m","placebo_sd","placebo_sem","MeanDiff","SED","d_raw","r_correlation","d.direction.new","Category","secondary_category","AuthorY","design","valence","author_provided_data","Random.sequence.generation","Allocation.concealment","Blinding.of.participants.and.experimenters","Blinding.of.outcome.assessment","Incomplete.outcome.data","drug_category","drug_activity","simplified_drug_target","drug_target","simplified_drug_target2","drug_dose","treat_as"
"1","DA",2,"Abler",2007,"https://doi.org/10.1007/s00213-006-0690-y","Y","w",8,8,0.5,0.5,"31.3","8.8","31.3","8.8","31.3","0.5","olanzapine ","5mg","decrease_DA","single","1","5h","22 days","MID","MID","MID","RT (ms) in high reward","RT high reward",2.5,NA,NA,525,70.45,NA,482,51.12,NA,NA,NA,NA,NA,1,"reward vigour_baselinertnonsign","","Abler, 2007","w","r","","?","?","L","L","L","antipsychotic","antagonist","D2 receptor antagonist","D1�D5, 5-HT2,  _1, mAch, H1 receptor antagonist","D2 receptor antagonist","olanzapine  5mg","w"
"2","DA",3,"Addicott",2021,"https://dx.doi.org/10.1038/s41386-020-00881-8","Y","w",22,22,0.57,0.57,"27.7","6.6","27.7","6.6","27.7","0.57","methylphenidate","40mg","increase_DA","single","1","2h","maximum 2 weeks, minimum 48h","6-Armed restless bandit task","restless bandit","other","learning rate","learning rate",2.03948815906116,NA,NA,-0.949660795328523,0.901207791641354,0.105,-1.3562680995982,1.17262148176223,0.065,NA,NA,NA,0.621123024130857,1,"reward learning sensitivity","reward learning","Addicott, 2021","w","r","yes","?","?","L","L","?","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","methylphenidate 40mg","w"
"3","DA",3,"Addicott",2021,"https://dx.doi.org/10.1038/s41386-020-00881-8","Y_subanalysis_rsens","w",22,22,0.57,0.57,"27.7","6.6","27.7","6.6","27.7","0.57","methylphenidate","40mg","increase_DA","single","1","2h","maximum 2 weeks, minimum 48h","6-Armed 'restless' bandit task","restless bandit","bandit","decision temperature A lower value of β typically leads to a higher percentage of explore decisions.","inverse temperature",0.811715662881054,NA,NA,0.397588301897802,1.38073469106053,0.59,0.631839186607241,1.26308516151865,0.66,NA,NA,NA,0.478671905856101,-1,"reward sensitivity","reward sensitivity","Addicott, 2021","w","r","yes","?","?","L","L","?","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","methylphenidate 40mg","w"
"4","DA",4,"Admon",2017,"https://dx.doi.org/10.1176/appi.ajp.2016.16010111","Y","bw",20,18,0.783,0.75,"26.5","6.8","25.3","5.6","25.9","0.7665","amisulpride","50mg","increase_DA","single","1","2.5h","","Probabilistic Selection Task (Frank et al 2004)","PST","PST","punishment learning (avoiding B)","avoid B",NA,NA,NA,0.796760752688172,0.19319681305974,NA,0.689431409967059,0.207152956702551,NA,NA,NA,NA,NA,1,"punishment learning sensitivity","punishment learning sensitivity","Admon, 2017","bw","p","yes","H","H","?","?","L","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 50mg","bw"
"5","DA",4,"Admon",2017,"https://dx.doi.org/10.1176/appi.ajp.2016.16010111","Y","bw",20,18,0.783,0.75,"26.5","6.8","25.3","5.6","25.9","0.7665","amisulpride","50mg","increase_DA","single","1","2.5h","","Probabilistic Selection Task (Frank et al 2004)","PST","PST","reward learning (choosing A)","choose A",NA,NA,NA,0.7984375,0.149517796753606,NA,0.756664426523297,0.173536359457154,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Admon, 2017","bw","r","yes","H","H","?","?","L","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 50mg","bw"
"6","5HT",7,"Anderson",2003,"https://doi.org/10.1177/0269881103017001687","Y","bw",15,13,NA,NA,NA,NA,NA,NA,"23","0.392857143","TD","","decrease_5HT","single","1","6h","","gambling task","gambling","","mean indifference odds against-winning","mean indifference odds against win",NA,0.007,0.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"risk attitude","","Anderson, 2003","bw","r","","H","H","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"7","DA",14,"Au-Yeung",2024,"https://dx.doi.org/10.1007/s00213-024-06567-z","Y","bw",19,18,0.53,0.44,"22.68","3.76","24.5","7.13","23.59","0.485","pramipexole","1mg/day","increase_DA","multiple till treatment day12-15 (time 2)","0",NA,"bw","eye-tracking vigour task","eye-tracking vigour","","Velocity residuals performance based","Velocity residuals",NA,NA,NA,13.18189776,17.5802056,4.03317577,9.142907817,20.96582737,4.941692901,NA,NA,NA,NA,1,"reward vigour","","Au-Yeung, 2024","bw","r","","H","H","L","H","H","upregulate dopamine","agonist","D2 receptor agonist ","D2 and D3 receptor agonist ","other","pramipexole 1mg/day","bw"
"8","5HT",18,"Beierholm",2013,"https://dx.doi.org/10.1038/npp.2013.48","Y","bw",30,30,0.566666667,0.433333333,"23.6","4.2","24.23","3.18","23.915","0.5","citalopram","24mg oral","increase_5HT","single","1","220min","","vigor task (Guitart-Masip 2011)","odd-ball discrimination","","average reward rate","average reward rate on RTs",NA,NA,NA,-0.059696633,0.088117441,0.01608797,-0.037120508,0.087844237,0.01603809,NA,NA,NA,NA,-1,"reward vigour","","Beierholm, 2013","bw","r","","H","H","L","L","?","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","citalopram 24mg oral","bw"
"9","DA",18,"Beierholm",2013,"https://dx.doi.org/10.1038/npp.2013.48","Y","bw",30,30,0.43,0.43,"24.07","4.08","24.23","3.18","24.15","0.43","L-dopa","150mg+37.5mg","increase_DA","single","1","100min","bw","vigor task (Guitart-Masip 2011)","odd-ball discrimination","","average reward rate on RTs","average reward rate on RTs",2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reward vigour","","Beierholm, 2013","bw","r","","H","H","L","L","?","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg+37.5mg","bw"
"10","DA",19,"Bellebaum",2017,"https://dx.doi.org/10.1177/0269881116668591","Y","bw",16,20,0,0,"25","4.8","24.7","3.3","24.85","0","modafinil","200mg","increase_DA","single","1","2h","bw","Probabilistic Selection Task (Frank et al 2004)","PST","PST","% avoid B (avoid)","avoid B",NA,NA,NA,64.15858,17.71844,NA,72.49191,14.32039,NA,NA,NA,NA,NA,-1,"punishment learning sensitivity","punishment learning sensitivity","Bellebaum, 2017","bw","p","","L","L","L","L","L","stimulant","agonist","DA reuptake inhibitor","DA transporter inhibitor","other","modafinil 200mg","bw"
"11","DA",19,"Bellebaum",2017,"https://dx.doi.org/10.1177/0269881116668591","Y","bw",16,20,0,0,"25","4.8","24.7","3.3","24.85","0","modafinil","200mg","increase_DA","single","1","2h","bw","Probabilistic Selection Task (Frank et al 2004)","PST","PST","% choose A (approach) in transfer phase","choose A",NA,NA,NA,83.81877,11.32686,NA,79.12621,13.26861,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Bellebaum, 2017","bw","r","","L","L","L","L","L","stimulant","agonist","DA reuptake inhibitor","DA transporter inhibitor","DA reuptake inhibitor","modafinil 200mg","bw"
"12","DA",21,"Bernacer",2013,"https://dx.doi.org/10.1176/appi.ajp.2013.12070978","Y","w",17,17,0.41,0.41,"25.3","4.9","25.3","4.9","25.3","0.41","methamphetamine","0.3mg/kg","increase_DA","single","1","1h (methamphetamin), 2h (amisulprid)","at least 1 week","probabilistic instrumental learning task (similar to Pessiglione)","PILT","PILT/other","learning rate in punishment trials (RL model)","learning rate",NA,NA,NA,0.432310594,0.358505702,NA,0.435555423,0.397371808,NA,NA,NA,NA,NA,-1,"punishment learning sensitivity","punishment learning","Bernacer, 2013","w","p","","H","H","?","?","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor and NA, DA, 5-HT releaser ","other","methamphetamine 0.3mg/kg","bw"
"13","DA",21,"Bernacer",2013,"https://dx.doi.org/10.1176/appi.ajp.2013.12070978","Y_subanalysis_psens","w",17,17,0.41,0.41,"25.3","4.9","25.3","4.9","25.3","0.41","methamphetamine","0.3mg/kg","increase_DA","single","1","1h (methamphetamin), 2h (amisulprid)","at least 1 week","probabilistic instrumental learning task (similar to Pessiglione)","PILT","","beta param in punishment trials (RL model)","temperature",NA,NA,NA,0.643536662,1.243315424,NA,0.813511378,1.603587231,NA,NA,NA,NA,NA,1,"punishment sensitivity","punishment sensitivity","Bernacer, 2013","w","p","","H","H","?","?","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor and NA, DA, 5-HT releaser ","other","methamphetamine 0.3mg/kg","bw"
